X,Y,Data,Ora,Luogo_corr,INCIDENTE,lon,lat
13.360234,38.130247,20/02/2017,08:00,VIA CRISPI FRANCESCO altezza del civico 290,C,13.360234000000000,38.130246999999997
13.37421,38.089758,20/02/2017,16:30,VIALE REGIONE SICILIANA S.E. carr. laterale civico 4339,F,13.374210000000000,38.089758000000003
13.36158,38.086538,20/02/2017,19:55,VIA DELL'ERMELLINO altezza del civico 37,F,13.361580000000000,38.086537999999997
13.400201,38.097459,20/02/2017,22:15,PIAZZA GRANDI ACHILLE altezza del civico 28,F,13.400200999999999,38.097459000000001
13.341413,38.140811,30/01/2017,08:10,VIALE GIULIANO BORIS altezza del civico 26,C,13.341412999999999,38.140810999999999
13.335522,38.159536,05/02/2017,17:55,P.LE DEL FANTE altezza del civico 51,C,13.335521999999999,38.159536000000003
13.396857,38.096654,21/02/2017,08:00,CORSO DEI MILLE intersezione VIA LUCCHESI PALLI,F,13.396857000000001,38.096654000000001
13.358472,38.130581,21/02/2017,08:45,VIA PIER DELLE VIGNE intersezione con VIA CONTE RUGGERO,C,13.358472000000001,38.130580999999999
13.354943,38.124847,21/02/2017,11:00,PIAZZA CASTELNUOVO intersezione VIA PATERNOSTRO PAOLO,F,13.354943000000000,38.124847000000003
13.329378,38.149739,21/02/2017,11:55,VIA NEBRODI(DEI) intersezione con VIA NORVEGIA,F,13.329378000000000,38.149738999999997
13.421185,38.095235,20/02/2017,14:15,VIA LI GOTTI ETTORE intersezione con VIA MESSINA MARINE,F,13.421184999999999,38.095235000000002
13.364473,38.12318,18/02/2017,04:15,PIAZZA TREDICI VITTIME intersezione VIA CRISPI FRANCESCO,C,13.364473000000000,38.123179999999998
13.359942,38.132144,17/02/2017,18:10,VIA PIANO DELL'UCCIARDONE di fronte p.ta della pace,C,13.359942000000000,38.132143999999997
13.380217,38.108928,21/02/2017,15:15,VIA MESSINA MARINE altezza del civico 33,F,13.380217000000000,38.108927999999999
13.329011,38.150329,20/02/2017,12:10,VIA BELGIO intersezione VIALE STRASBURGO,C,13.329010999999999,38.150328999999999
13.358825,38.123443,21/02/2017,17:10,VIA STABILE MARIANO pressi P.TTA ALDO MORO,C,13.358825000000000,38.123443000000002
13.333595,38.185635,21/02/2017,17:15,VIALE MARGHERITA DI SAVOIA intersezione con VIA MATER DOLOROSA,C,13.333595000000001,38.185634999999998
13.302912,38.088617,21/02/2017,22:30,CIRC.NE DI MONREALE altezza del civico 101,F,13.302911999999999,38.088616999999999
13.36383,38.140259,22/02/2017,00:50,VIA RALLO ALBERTO intersezione con VIA CIMBALI GIUSEPPE,F,13.363830000000000,38.140259000000000
13.367129,38.103289,22/02/2017,08:30,VIA BERGAMO intersezione con VIA GUADAGNA,F,13.367129000000000,38.103288999999997
13.337882,38.12561,22/02/2017,11:45,VIA MAIELLI GIUSEPPE intersezione con VIA CRISPI GIUSEPPE,F,13.337882000000000,38.125610000000002
13.366852,38.144621,22/02/2017,15:30,VIA BETTOLO GIOVANNI AMM. intersezione con VIA DI CRISTOFALO,C,13.366852000000000,38.144621000000001
13.355556,38.144599,22/02/2017,18:15,VIA SADAT ANWAR altezza del civico 82,F,13.355556000000000,38.144598999999999
13.364294,38.105921,23/02/2017,00:50,VIA CORAZZA FILIPPO intersezione con VIA MORTILLARO VINCENZO,F,13.364293999999999,38.105921000000002
13.356528,38.108099,14/02/2017,23:00,CORSO TUKORY altezza del civico 256,C,13.356528000000001,38.108099000000003
13.32069,38.127029,13/02/2017,11:25,VIALE LEONARDO DA VINCI intersezione con PIAZZA EINSTEIN ALBERT,C,13.320690000000001,38.127029000000000
13.348798,38.13524,20/02/2017,17:58,VIA DELLA LIBERTA' intersezione con PIAZZA MORDINI ANTONIO,F,13.348798000000000,38.135240000000003
13.329454,38.123844,21/02/2017,18:25,VIALE REGIONE SICILIANA altezza (spec.) PIAZZ. J.LENNON,C,13.329454000000000,38.123843999999998
13.349426,38.125809,14/02/2017,17:10,VIA SAMMARTINO intersezione con VIA FERRARA FRANCESCO,C,13.349425999999999,38.125808999999997
13.311252,38.172206,23/02/2017,09:05,VIA ARICI GIUSEPPE altezza del civico 17,F,13.311252000000000,38.172206000000003
13.335345,38.127203,23/02/2017,10:00,VIA FERMI ENRICO altezza del civico 24,C,13.335345000000000,38.127203000000002
13.317376,38.105051,22/02/2017,09:00,VILLA NAVE nr. 51,C,13.317375999999999,38.105051000000003
13.351594,38.110895,23/02/2017,14:15,PIAZZA INDIPENDENZA intersezione CORSO CALATAFIMI,F,13.351594000000000,38.110894999999999
13.366581,38.110461,23/02/2017,14:15,PIAZZA GIULIO CESARE intersezione con VIA PALMERI NICCOLO',R,13.366581000000000,38.110461000000001
13.34701,38.100048,23/02/2017,15:30,VIA BASILE ERNESTO altezza (spec.) 2° INGR UNIPA,C,13.347009999999999,38.100048000000001
13.333572,38.14969,23/02/2017,20:14,VIALE DE GASPERI ALCIDE di fronte civco 183,F,13.333572000000000,38.149690000000000
13.351567,38.105151,23/02/2017,16:20,VIA BASILE ERNESTO di fronte al civico 106,F,13.351566999999999,38.105150999999999
13.34701,38.100048,23/02/2017,19:30,VIA BASILE ERNESTO di fronte lg. t. anelli,F,13.347009999999999,38.100048000000001
13.359595,38.125927,24/02/2017,09:45,VIA AMARI EMERICO intersezione con VIA ROMA,F,13.359595000000001,38.125926999999997
13.31908,38.181444,24/02/2017,12:00,VIALE PERTINI SANDRO intersezione VIA TRAPANI PESCIA,F,13.319080000000000,38.181443999999999
13.363484,38.116555,24/02/2017,20:50,VIA ROMA intersezione con VIA VITTORIO EMANUELE,F,13.363484000000000,38.116554999999998
13.352469,38.143032,25/02/2017,03:15,VIA FERRI FERDINANDO intersezione con VIA CIRRINCIONE ANDREA,F,13.352468999999999,38.143031999999998
13.329454,38.123844,24/02/2017,15:30,VIALE REGIONE SICILIANA intersezione VIA SCOBAR CRISTOFARO,F,13.329454000000000,38.123843999999998
13.356542,38.130791,25/02/2017,06:00,VIA ALBANESE ENRICO intersezione con VIA CALVI PASQUALE,F,13.356541999999999,38.130791000000002
13.405268,38.099023,25/02/2017,12:15,VIA MESSINA MARINE altezza del civico 451A,F,13.405268000000000,38.099023000000003
13.362192,38.125921,25/02/2017,13:00,VIA MIRAGLIA MICHELE altezza (inters.) VIA GRAVINA AMMIRAGLIO,F,13.362192000000000,38.125920999999998
13.329651,38.125524,25/02/2017,15:15,VIALE REGIONE SICILIANA N.O. altezza del civico 2456,F,13.329651000000000,38.125523999999999
13.363197,38.125733,25/02/2017,21:15,VIA CRISPI FRANCESCO altezza (inters.) VIA GERBASI ROSARIO,F,13.363197000000000,38.125732999999997
13.344703,38.13393,25/02/2017,21:15,VIA LO JACONO FRANCESCO intersezione con VIA CESAREO GIOVANNI ALFREDO,F,13.344703000000001,38.133929999999999
13.320195,38.139956,25/02/2017,22:30,VIA SALERNO intersezione con VIA AMORELLI ALFONSO,F,13.320195000000000,38.139955999999998
13.369052,38.119361,26/02/2017,03:00,VIA CALA di fronte CLINICA ZANCLA,C,13.369052000000000,38.119360999999998
13.362455,38.126928,26/02/2017,09:10,VIA CRISPI FRANCESCO di fronte al civico 164,F,13.362455000000001,38.126927999999999
13.336108,38.13519,26/02/2017,10:50,VIA PRINCIPE DI PALAGONIA altezza del civico 14/L,F,13.336107999999999,38.135190000000001
13.348666,38.098829,26/02/2017,22:35,VIA ARTALE VITO GEN. intersezione con VIA VITALI VINCENZO,F,13.348666000000000,38.098829000000002
13.358309,38.12435,26/02/2017,09:20,VIA WAGNER RICCARDO intersezione VIA PRINCIPE DI GRANATELLI,F,13.358309000000000,38.124350000000000
13.361052,38.129012,27/02/2017,11:30,VIA CRISPI FRANCESCO nr. 240,F,13.361052000000001,38.129012000000003
13.289145,38.126273,27/02/2017,14:25,VIA CASTELLANA nr. 175,C,13.289145000000000,38.126272999999998
13.32711,38.17258,27/02/2017,15:40,PIAZZA PALLAVICINO altezza del civico 36/A,F,13.327109999999999,38.172580000000004
13.403551,38.099757,06/02/2017,22:15,VIA MESSINA MARINE nr. 449,C,13.403551000000000,38.099756999999997
13.322543,38.094901,14/02/2017,23:30,VIA DUE VANELLE altezza del civico 13,C,13.322543000000000,38.094901000000000
13.320464,38.096713,27/02/2017,19:15,VIA TERRANOVA CESARE altezza del civico 37,F,13.320463999999999,38.096713000000001
13.348798,38.13524,28/02/2017,04:30,VIA DELLA LIBERTA' intersezione con VIA NOTARBARTOLO EMANUELE,F,13.348798000000000,38.135240000000003
13.310906,38.133734,27/02/2017,12:40,VIALE MICHELANGELO altezza del civico 1938,C,13.310905999999999,38.133733999999997
13.393251,38.087813,28/02/2017,07:00,VIALE REGIONE SICILIANA S.E. intersezione con CORSO CALATAFIMI,F,13.393250999999999,38.087812999999997
13.367557,38.103283,28/02/2017,08:10,VIA BERGAMO altezza del civico 44,F,13.367557000000000,38.103282999999998
13.363197,38.125733,28/02/2017,10:50,VIA CRISPI FRANCESCO intersezione VIA SCINA' DOMENICO,C,13.363197000000000,38.125732999999997
13.371302,38.112914,15/02/2017,10:55,VIA LINCOLN angolo VIA ARCHIRAFI,C,13.371302000000000,38.112914000000004
13.338828,38.140044,28/02/2017,11:50,VIA SCIUTI GIUSEPPE altezza del civico 91H,F,13.338827999999999,38.140044000000003
13.332317,38.128983,16/02/2017,15:15,VIA MIGLIACCIO MARIANO nr. 51,F,13.332317000000000,38.128982999999998
13.331718,38.117104,17/02/2017,11:00,VIA NINA SICILIANA intersezione VIA ALEO COSIMO,C,13.331718000000000,38.117103999999998
13.329752,38.10383,22/02/2017,10:30,VIA POLLACI GIUSEPPE nr. 7,F,13.329751999999999,38.103830000000002
13.33926,38.134956,22/02/2017,15:50,VIA GIORDANO UMBERTO altezza (inters.) VIA NOTARBARTOLO EMANUELE,F,13.339259999999999,38.134956000000003
13.360953,38.143252,23/02/2017,14:00,VIA RIZZO AMMIRAGLIO nr. 68,F,13.360953000000000,38.143251999999997
13.359942,38.132144,23/02/2017,16:10,VIA PIANO DELL'UCCIARDONE s.n.c.,C,13.359942000000000,38.132143999999997
13.329548,38.102771,28/02/2017,16:45,CORSO CALATAFIMI intersezione con VIA MANCUSO LENIN,F,13.329548000000001,38.102770999999997
13.329156,38.150697,23/02/2017,19:25,VIA BELGIO nr. 81,C,13.329155999999999,38.150697000000001
13.343087,38.12713,24/02/2017,01:28,VIA MALASPINA intersezione VIA MARCONI GUGLIELMO,C,13.343087000000001,38.127130000000001
13.348463,38.11873,25/02/2017,13:10,CSO FINOCCHIARO APRILE CAMILLO intersezione PZZA ORLANDO VITTORIO EMANUELE,C,13.348463000000001,38.118729999999999
13.339195,38.151008,27/02/2017,17:30,PIAZZA GIOVANNI PAOLO II PAPA altezza (inters.) VIALE DE GASPERI ALCIDE,F,13.339195000000000,38.151007999999997
13.371222,38.10062,01/03/2017,00:05,VIA ORETO intersezione con VIA LA COLLA FRANCESCO,F,13.371221999999999,38.100619999999999
13.327211,38.12603,28/02/2017,15:50,VIA DI GIORGI FERDINANDO intersezione VIA TELESINO ALESSANDRO,C,13.327211000000000,38.126030000000000
13.334293,38.101374,01/03/2017,07:20,VIALE MARIA SS. MEDIATRICE altezza (spec.) PIAZZA*BARBARIN,C,13.334293000000001,38.101374000000000
13.374308,38.116668,01/03/2017,10:30,FORO UMBERTO I di fronte PORTA FELICE,C,13.374307999999999,38.116667999999997
13.30475,38.117868,25/02/2017,03:00,VIA ROCCAZZO in prossimità di 118,C,13.304750000000000,38.117868000000001
13.371581,38.112912,01/03/2017,15:15,VIA LINCOLN altezza del civico 22,C,13.371581000000001,38.112912000000001
13.39199,38.098885,01/03/2017,15:10,PIAZZA TORRELUNGA intersezione con CORSO DEI MILLE,F,13.391990000000000,38.098885000000003
13.356542,38.130791,02/03/2017,00:15,VIA ALBANESE ENRICO intersezione con VIA CALVI PASQUALE,F,13.356541999999999,38.130791000000002
13.389931,38.100297,02/03/2017,01:00,VIA GALVANI LUIGI pressi 54,F,13.389931000000001,38.100296999999998
13.383627,38.089818,02/03/2017,08:15,VIALE REGIONE SICILIANA N.O. altezza del civico 5589,F,13.383627000000001,38.089818000000001
13.338271,38.156044,02/03/2017,08:25,VIALE DEL FANTE intersezione con PIAZZA LEONI,C,13.338271000000001,38.156044000000001
13.327055,38.172765,27/02/2017,16:30,PIAZZA PALLAVICINO nr. 35,F,13.327055000000000,38.172764999999998
13.328109,38.083821,02/03/2017,09:20,VIA ALTOFONTE intersezione con VIA COSTA GAETANO,F,13.328109000000000,38.083821000000000
13.363029,38.137065,02/03/2017,10:25,VIA DEI CANTIERI intersezione con LARGO VILLAURA,F,13.363028999999999,38.137065000000000
13.334293,38.101374,27/02/2017,22:30,VIALE MARIA SS. MEDIATRICE intersezione con PIAZZA BARBARINO COSTANZO,C,13.334293000000001,38.101374000000000
13.375485,38.093995,25/02/2017,11:00,VIA ORETO altezza del civico 374,F,13.375484999999999,38.093995000000000
13.403551,38.099757,02/03/2017,11:00,VIA MESSINA MARINE altezza del civico 449/D,F,13.403551000000000,38.099756999999997
13.371391,38.152382,02/03/2017,16:00,VIA S.VINCENZO DE PAOLI altezza del civico 4,F,13.371390999999999,38.152382000000003
13.333881,38.13087,02/03/2017,16:19,VIA GIOTTO intersezione con VIALE GALILEO GALILEI,F,13.333881000000000,38.130870000000002
13.31245,38.09581,02/03/2017,19:15,CORSO CALATAFIMI di fronte al civico 1061,F,13.312450000000000,38.095810000000000
13.315222,38.142244,02/03/2017,22:30,VIA VANVITELLI LUIGI intersezione VIA CRUILLAS,C,13.315222000000000,38.142243999999998
13.323693,38.133784,02/03/2017,23:00,VIA STAZZONE GIUSEPPE intersezione con VIA ARICO' GIACOMO,F,13.323693000000000,38.133783999999999
13.408236,38.097104,02/03/2017,23:30,VIA SACCO E VANZETTI a mt. 20 VIA PASTORE,F,13.408236000000000,38.097104000000002
13.433442,38.085081,03/03/2017,01:30,VIA POMARA nr. 32,F,13.433441999999999,38.085081000000002
13.322305,38.151742,27/02/2017,20:20,VIALE REGIONE SICILIANA N.O. intersezione con VIA PLATEN AUGUSTO,F,13.322305000000000,38.151741999999999
13.34164,38.145579,02/03/2017,09:50,PIAZZA VITTORIO VENETO in prossimità di dell'artigliere,C,13.341640000000000,38.145578999999998
13.348798,38.13524,02/03/2017,09:55,VIA DELLA LIBERTA' intersezione con VIA UGDULENA GREGORIO,F,13.348798000000000,38.135240000000003
13.393251,38.087813,03/03/2017,07:30,VIALE REGIONE SICILIANA S.E. carreggiata centrale DIR.TP alt 9,C,13.393250999999999,38.087812999999997
13.363605,38.104387,03/03/2017,08:05,VIA MENDOLA altezza del civico 116,C,13.363605000000000,38.104387000000003
13.380569,38.091211,03/03/2017,09:50,VIALE REGIONE SICILIANA S.E. altezza del civico 2624,F,13.380568999999999,38.091211000000001
13.326477,38.156852,03/03/2017,11:15,VIALE STRASBURGO altezza (inters.) VIA PRINCIPE DI PANTELLERIA,F,13.326477000000001,38.156852000000001
13.330161,38.159465,03/03/2017,15:25,VIA S.LORENZO altezza del civico 71,F,13.330161000000000,38.159464999999997
13.296513,38.107709,03/03/2017,16:00,VIA S.MARTINO DELLE SCALE altezza (inters.) VIA RUFFO DI CALABRIA,M,13.296512999999999,38.107709000000000
13.351232,38.119815,03/03/2017,18:45,VIA TURRISI NICOLO' altezza del civico 48,C,13.351232000000000,38.119815000000003
13.338408,38.140386,04/03/2017,00:55,VIALE DELLE MAGNOLIE intersezione con VIALE DELLE ALPI,F,13.338407999999999,38.140385999999999
13.332977,38.14546,04/03/2017,09:00,VIA SARDEGNA nr. 17,F,13.332977000000000,38.145460000000000
13.297367,38.189002,04/03/2017,13:30,PIAZZALE BOLIVAR SIMON intersezione con VIA LANZA DI SCALEA GIUSEPPE,F,13.297366999999999,38.189002000000002
13.325444,38.130227,04/03/2017,13:20,VIA UDITORE intersezione con VIA STAZZONE GIUSEPPE,F,13.325443999999999,38.130226999999998
13.346502,38.120503,04/03/2017,15:45,VIA LA MANTIA VITO intersezione con VIA VILLA FLORIO,F,13.346501999999999,38.120502999999999
13.335281,38.177314,03/03/2017,17:20,VIALE MARGHERITA DI SAVOIA nr. 109/111,F,13.335281000000000,38.177314000000003
13.355296,38.127568,05/03/2017,02:10,VIA MAZZINI intersezione con VIA LA LUMIA ISIDORO,F,13.355295999999999,38.127567999999997
13.412225,38.097989,05/03/2017,08:40,VIA MESSINA MARINE intersezione con VIA CAPPELLO SALVATORE,F,13.412224999999999,38.097988999999998
13.331718,38.117104,05/03/2017,03:00,VIA NINA SICILIANA intersezione con VIA PERPIGNANO,F,13.331718000000000,38.117103999999998
13.349078,38.115291,05/03/2017,05:00,VIA D'OSSUNA di fronte al civico 151,C,13.349078000000000,38.115290999999999
13.344247,38.105971,05/03/2017,13:00,CORSO PISANI PIETRO altezza del civico 274,F,13.344246999999999,38.105970999999997
13.342772,38.148513,04/03/2017,22:30,VIALE DEL FANTE altezza del civico 54,F,13.342772000000000,38.148513000000001
13.307964,38.195999,05/03/2017,14:15,VIA PARTANNA MONDELLO altezza del civico 94,C,13.307964000000000,38.195999000000000
13.372917,38.110471,05/03/2017,16:30,VIA ARCHIRAFI intersezione con VIA LINCOLN,F,13.372916999999999,38.110470999999997
13.369052,38.119361,06/03/2017,02:00,VIA CALA pressi FORO UMBERTO I,C,13.369052000000000,38.119360999999998
13.393251,38.087813,06/03/2017,03:00,VIALE REGIONE SICILIANA S.E. in prossimità di DIST. ESSO,F,13.393250999999999,38.087812999999997
13.347397,38.120827,05/03/2017,21:20,VIA RE FEDERICO intersezione con VIA JUVARA FILIPPO,C,13.347397000000001,38.120826999999998
13.329709,38.124603,06/03/2017,08:55,VIALE REGIONE SICILIANA N.O. carr. laterale dir tp alt2357,F,13.329708999999999,38.124603000000000
13.422531,38.086774,06/03/2017,12:30,CORSO DEI MILLE altezza del civico 1658/F,C,13.422530999999999,38.086773999999998
13.357006,38.110303,05/03/2017,10:30,VIA MONGITORE ANTONINO intersezione con VIA CADORNA LUIGI GEN.,F,13.357006000000000,38.110303000000002
13.344391,38.11623,06/03/2017,19:15,VIA PIAZZA MICHELE altezza del civico 40,F,13.344391000000000,38.116230000000002
13.370037,38.096837,06/03/2017,19:20,VIA LO SCHIAVO GIUSEPPE GUIDO altezza del civico 1,F,13.370037000000000,38.096837000000001
13.323472,38.12691,07/03/2017,09:10,VIALE LEONARDO DA VINCI nr. 240,C,13.323472000000001,38.126910000000002
13.340583,38.118203,07/03/2017,08:05,VIA GILI PAOLO altezza del civico 4,F,13.340583000000001,38.118203000000001
13.383041,38.097477,07/03/2017,11:40,VIA GERMANESE altezza del civico 18,F,13.383041000000000,38.097476999999998
13.329663,38.114492,03/03/2017,10:40,VIALE REGIONE SICILIANA N.O. altezza del civico 1245,F,13.329663000000000,38.114491999999998
13.336421,38.139598,07/03/2017,19:20,VIALE DELLE ALPI altezza del civico 20,C,13.336421000000000,38.139597999999999
13.360715,38.121938,07/03/2017,22:20,VIA CAVOUR CAMILLO intersezione con VIA ROMA,F,13.360715000000001,38.121938000000000
13.323281,38.082134,08/03/2017,00:20,VIA OLIO DI LINO altezza del civico 8,F,13.323281000000000,38.082134000000003
13.35982,38.110643,07/03/2017,14:30,VIA ALBERGHERIA nr. 86,C,13.359819999999999,38.110643000000003
13.348194,38.153161,08/03/2017,05:00,VIALE DIANA pressi cancello Giusin,F,13.348193999999999,38.153160999999997
13.329899,38.11272,06/03/2017,12:30,VIALE REGIONE SICILIANA N.O. altezza del civico 1039,F,13.329898999999999,38.112720000000003
13.393251,38.087813,08/03/2017,05:45,VIALE REGIONE SICILIANA S.E. carr. laterale DIR.TP civ.1130,F,13.393250999999999,38.087812999999997
13.336178,38.196665,08/03/2017,01:30,VIALE PRINCIPESSA GIOVANNA nr. 2/4,C,13.336178000000000,38.196665000000003
13.360802,38.129286,08/03/2017,12:00,VIA CRISPI FRANCESCO altezza del civico 250,F,13.360802000000000,38.129286000000000
13.327068,38.156233,08/03/2017,14:10,VIALE STRASBURGO altezza del civico 352,F,13.327068000000001,38.156233000000000
13.363197,38.125733,03/03/2017,07:50,VIA CRISPI FRANCESCO intersezione VIA SCINA' DOMENICO,C,13.363197000000000,38.125732999999997
13.322305,38.151742,05/03/2017,12:40,VIALE REGIONE SICILIANA N.O. altezza (inters.) VIA PRINCIPE DI PATERNO',F,13.322305000000000,38.151741999999999
13.3479,38.136907,08/03/2017,15:30,VIA DELLA LIBERTA' nr. 127,F,13.347899999999999,38.136907000000001
13.334669,38.146108,06/03/2017,00:01,VIA RESTIVO EMPEDOCLE nr. 108,C,13.334669000000000,38.146107999999998
13.363197,38.125733,06/03/2017,08:10,VIA CRISPI FRANCESCO altezza (spec.) INGRESSO PORTO,C,13.363197000000000,38.125732999999997
13.32069,38.127029,03/03/2017,09:00,VIALE LEONARDO DA VINCI altezza (inters.) VIA ROMANIA,F,13.320690000000001,38.127029000000000
13.351348,38.119785,06/03/2017,09:30,VIA TURRISI NICOLO' nr. 44,C,13.351348000000000,38.119785000000000
13.3309,38.151791,07/03/2017,09:30,VIA BELGIO nr. 1,C,13.330900000000000,38.151791000000003
13.347385,38.122953,17/02/2017,18:25,VIA DANTE nr. 98/100,F,13.347384999999999,38.122953000000003
13.361619,38.137084,26/02/2017,12:45,VIA CRESCENZIO ANTONIO intersezione VIA DEI CANTIERI,C,13.361618999999999,38.137084000000002
13.358914,38.124381,27/02/2017,08:45,VIA ROMA nr. 408,F,13.358914000000000,38.124381000000000
13.329747,38.119312,01/03/2017,10:50,VIA PERPIGNANO intersezione VIA D'AQUINO RINALDO,F,13.329746999999999,38.119312000000001
13.396857,38.096654,01/03/2017,19:00,CORSO DEI MILLE s.n.c.,F,13.396857000000001,38.096654000000001
13.38121,38.104815,03/03/2017,07:45,VIA CAPPELLO SALVATORE intersezione VIA MESSINA MARINE,C,13.381209999999999,38.104815000000002
13.300014,38.119046,03/03/2017,07:50,VIA TUCCI FRANCESCO altezza (inters.) VIA ROCCAZZO,C,13.300013999999999,38.119045999999997
13.35091,38.122436,03/03/2017,08:00,PIAZZA AMENDOLA GIOVANNI nr. 33,C,13.350910000000001,38.122436000000000
13.335627,38.117159,03/03/2017,12:00,VIA D'AQUINO RINALDO nr. 15,F,13.335627000000001,38.117159000000001
13.34254,38.132522,03/03/2017,14:40,PIAZZA BOIARDO MATTEO MARIA altezza (spec.) staz. Notarbart,C,13.342540000000000,38.132522000000002
13.348798,38.13524,03/03/2017,21:00,VIA DELLA LIBERTA' altezza (inters.) VIA CALTANISSETTA,F,13.348798000000000,38.135240000000003
13.330588,38.197607,04/03/2017,11:30,VIALE REGINA ELENA nr. 61,F,13.330588000000001,38.197606999999998
13.350157,38.140915,15/02/2017,10:00,VIA CAVIGLIA MARESCIALLO intersezione VIA SAMPOLO,C,13.350156999999999,38.140915000000000
13.325457,38.206608,25/02/2017,17:15,VIA TORRE DI MONDELLO s.n.c.,C,13.325457000000000,38.206608000000003
13.329548,38.102771,08/03/2017,19:15,CORSO CALATAFIMI intersezione con VIA ZANCLA AURELIO,F,13.329548000000001,38.102770999999997
13.289041,38.186594,09/03/2017,08:05,VIA SOCRATE intersezione con VIA TOMMASO NATALE,F,13.289040999999999,38.186593999999999
13.329792,38.159837,09/03/2017,10:05,VIA S.LORENZO nr. 90,F,13.329791999999999,38.159837000000003
13.37326,38.11735,09/03/2017,13:30,FORO UMBERTO I di fronte al civico 6,F,13.373260000000000,38.117350000000002
13.359672,38.107499,09/03/2017,15:10,VIA SALAMONE MARINO SALVATORE intersezione VIA ARCOLEO GIORGIO,F,13.359672000000000,38.107498999999997
13.348798,38.13524,09/03/2017,16:15,VIA DELLA LIBERTA' intersezione con VIA ARIMONDI GIUSEPPE GEN.,C,13.348798000000000,38.135240000000003
13.378053,38.112206,09/03/2017,17:15,VIA PONTE DI MARE di fronte al civico 43,F,13.378053000000000,38.112206000000000
13.31871,38.098214,09/03/2017,17:45,CORSO CALATAFIMI altezza del civico 812,F,13.318709999999999,38.098213999999999
13.324579,38.134046,09/03/2017,20:15,VIA BERNINI GIAN LORENZO intersezione con VIA STAZZONE,R,13.324579000000000,38.134045999999998
13.329421,38.123492,10/03/2017,06:30,VIALE REGIONE SICILIANA N.O. altezza del civico 2217,F,13.329421000000000,38.123491999999999
13.331718,38.117104,10/03/2017,09:20,VIA NINA SICILIANA intersezione con VIA GUBBIO,R,13.331718000000000,38.117103999999998
13.349033,38.140248,10/03/2017,10:00,VIALE MARCHESE DI VILLABIANCA altezza del civico 163,F,13.349033000000000,38.140248000000000
13.347838,38.139366,06/03/2017,09:35,VIA RUTELLI MARIO altezza (inters.) VIA DE AMICIS EDMONDO,C,13.347837999999999,38.139366000000003
13.356856,38.120599,10/03/2017,13:10,PIAZZA VERDI GIUSEPPE intersezione VIA PIGNATELLI ARAGONA,F,13.356856000000001,38.120598999999999
13.393251,38.087813,10/03/2017,12:30,VIALE REGIONE SICILIANA S.E. intersezione con VIA CONTE FEDERICO,F,13.393250999999999,38.087812999999997
13.33999,38.138518,10/03/2017,15:15,VIA SCIUTI GIUSEPPE altezza del civico 85 H,F,13.339990000000000,38.138517999999998
13.396857,38.096654,28/02/2017,15:30,CORSO DEI MILLE intersezione VIA S.ALBERTO DEGLI ABATI,C,13.396857000000001,38.096654000000001
13.329011,38.150329,01/03/2017,17:45,VIA BELGIO altezza (inters.) VIALE REGIONE SICILIANA N.O.,C,13.329010999999999,38.150328999999999
13.362423,38.14388,11/03/2017,08:20,VIA RIZZO AMMIRAGLIO altezza (inters.) VIA THAON DE REVEL PAOLO AMM.,F,13.362423000000000,38.143880000000003
13.326844,38.146944,11/03/2017,16:05,VIA ATENASIO pressi VIA PONTECORVO,F,13.326843999999999,38.146943999999998
13.34885,38.117034,12/03/2017,03:00,VIA LASCARIS COSTANTINO intersezione VIA IMERA,F,13.348850000000001,38.117033999999997
13.433279,38.085479,11/03/2017,11:45,VIA POMARA altezza del civico 24,F,13.433279000000001,38.085478999999999
13.337917,38.151466,12/03/2017,03:00,VIALE CROCE ROSSA intersezione VIA DEL CARABINIERE,C,13.337916999999999,38.151465999999999
13.357197,38.142726,12/03/2017,14:20,PIAZZA CASCINO ANTONINO GEN. intersezione con VIA SADAT ANWAR,F,13.357196999999999,38.142726000000003
13.320247,38.16061,13/03/2017,11:00,VIA MALTESE di fronte al civico 129,F,13.320247000000000,38.160609999999998
13.356898,38.12274,20/02/2017,19:15,VIA SETTIMO RUGGERO intersezione VIA PRINCIPE DI GRANATELLI,F,13.356897999999999,38.122740000000000
13.36387,38.135615,21/02/2017,08:00,VIA DELL'ARSENALE intersezione VIA CRISPI FRANCESCO,F,13.363870000000000,38.135615000000001
13.356945,38.122159,01/03/2017,10:15,VIA SETTIMO RUGGERO nr. 26,F,13.356945000000000,38.122159000000003
13.327377,38.120817,05/03/2017,14:00,VIA S.MARIA MAZZARELLO altezza (spec.) Media Word,C,13.327377000000000,38.120817000000002
13.332748,38.122216,05/03/2017,16:35,VIA SAURO NAZARIO nr. 2 D,C,13.332748000000000,38.122216000000002
13.366151,38.172789,07/03/2017,19:25,LUNGOMARE COLOMBO CRISTOFORO nr. 961,C,13.366151000000000,38.172789000000002
13.337917,38.151466,07/03/2017,23:00,VIALE CROCE ROSSA intersezione VIA VALDEMONE,C,13.337916999999999,38.151465999999999
13.371884,38.118057,08/03/2017,16:00,FORO UMBERTO I nr. 7,C,13.371884000000000,38.118057000000000
13.322305,38.151742,09/03/2017,19:00,VIALE REGIONE SICILIANA N.O. altezza (inters.) VIALE MICHELANGELO,C,13.322305000000000,38.151741999999999
13.278603,38.199445,11/03/2017,15:30,VIA LUCREZIO nr. 12,C,13.278603000000000,38.199444999999997
