X,Y,Data,Ora,Luogo_corr,INCIDENTE,lon,lat
13.35132,38.115702,03/01/2017,17:50,CORSO ALBERTO AMEDEO altezza (spec.) p.zza la porta,C,13.351319999999999,38.115701999999999
13.346566,38.141505,04/01/2017,10:00,VIA D'AZEGLIO MASSIMO nr. 9/b,F,13.346565999999999,38.141505000000002
13.329657,38.137785,06/01/2017,10:45,VIA AL SANTUARIO DI CRUILLAS intersezione con VIA FELICE,C,13.329656999999999,38.137785000000001
13.360433,38.12768,06/01/2017,11:00,VIA LA MASA GIUSEPPE di fronte al civico 77,C,13.360433000000000,38.127679999999998
13.322305,38.151742,07/01/2017,15:00,VIALE REGIONE SICILIANA N.O. intersezione con VIA UDITORE,C,13.322305000000000,38.151741999999999
13.375156,38.094087,09/01/2017,14:10,VIA ORETO altezza del civico 389,C,13.375156000000000,38.094087000000002
13.345966,38.142222,07/01/2017,16:00,VIA D'AZEGLIO MASSIMO intersezione con VIA UGDULENA GREGORIO,F,13.345966000000001,38.142221999999997
13.326347,38.126868,08/01/2017,10:00,VIALE LEONARDO DA VINCI intersezione con VIA CASALINI,C,13.326347000000000,38.126868000000002
13.318679,38.132904,09/01/2017,17:40,VIA MAMMANA intersezione con VIA LIBRINO EMANUELE,F,13.318678999999999,38.132904000000003
13.389413,38.098732,09/01/2017,20:30,VIA SALEMI intersezione con VIA CIRINCIONE GIUSEPPE,M,13.389412999999999,38.098731999999998
13.349569,38.144263,09/01/2017,17:30,VIA CIRRINCIONE ANDREA altezza del civico 20,F,13.349569000000001,38.144263000000002
13.340834,38.106263,09/01/2017,18:30,VIA CUBA intersezione VIA SALVO ROSARIO,F,13.340833999999999,38.106262999999998
13.322305,38.151742,10/01/2017,07:30,VIALE REGIONE SICILIANA N.O. carr. centrale sot ponte einst,F,13.322305000000000,38.151741999999999
13.335342,38.128706,10/01/2017,13:35,VIA CAMPOLO GIOVANNI altezza (inters.) VIA TINTORETTO JACOPO,F,13.335342000000001,38.128706000000001
13.350174,38.1381,10/01/2017,13:50,VIALE MARCHESE DI VILLABIANCA intersezione con VIA ILARDI PIETRO,F,13.350174000000001,38.138100000000001
13.331721,38.162818,08/01/2017,22:15,PIAZZA NISCEMI intersezione con VIALE NISCEMI,C,13.331721000000000,38.162818000000001
13.381128,38.106914,10/01/2017,13:00,VIA SAETTA ANTONINO intersezione con VIA MESSINA MARINE,F,13.381128000000000,38.106914000000003
13.354854,38.100292,10/01/2017,15:50,VIA LATTERI SAVERIO intersezione con VIA INDOVINA ROBERTO,F,13.354854000000000,38.100292000000003
13.393251,38.087813,10/01/2017,19:30,VIALE REGIONE SICILIANA S.E. di fronte dir CT carr. ce,F,13.393250999999999,38.087812999999997
13.31336,38.12489,11/01/2017,07:00,VIA DOGALI altezza del civico 29,F,13.313359999999999,38.124890000000001
13.37315,38.11377,11/01/2017,07:00,VIA LINCOLN nr. 37,F,13.373150000000001,38.113770000000002
13.368932,38.103951,11/01/2017,09:00,VIA ORETO nr. 271b,F,13.368931999999999,38.103951000000002
13.32609,38.15725,11/01/2017,15:10,VIALE STRASBURGO di fronte al civico 197,C,13.326090000000001,38.157249999999998
13.371222,38.10062,09/01/2017,11:30,VIA ORETO intersezione VIA ACCASCINA FILIPPO,C,13.371221999999999,38.100619999999999
13.354153,38.12185,11/01/2017,20:00,VIA STABILE MARIANO intersezione con VIA PRINCIPE DI SCORDIA,F,13.354153000000000,38.121850000000002
13.322305,38.151742,12/01/2017,09:30,VIALE REGIONE SICILIANA N.O. carr. centrale alt.v.quarnaro,C,13.322305000000000,38.151741999999999
13.389558,38.09622,12/01/2017,11:30,VIA GIAFAR EMIRO altezza del civico 57,C,13.389557999999999,38.096220000000002
13.34553,38.10886,12/01/2017,12:45,VIA ONORATO altezza del civico 6,F,13.345530000000000,38.108860000000000
13.346145,38.098061,12/01/2017,14:15,VIA BASILE ERNESTO altezza del civico 206,F,13.346145000000000,38.098061000000001
13.371222,38.10062,12/01/2017,16:30,VIA ORETO intersezione con VIA DELL'ORSA MINORE,C,13.371221999999999,38.100619999999999
13.334922,38.113809,12/01/2017,20:00,VIA EUGENIO L'EMIRO nr. 59,F,13.334922000000001,38.113809000000003
